asset_id,gs_domain,application,automation_type,repository,path_or_suite,test_count_unit,count,denominator_source,auth_idp,auth_non_idp,environment,execution_status,ci_integration,last_evidence_date,confidence,notes
AST-001,Universal Platform,V2 UI,Feature scenarios,unite-test-automation,unite/testsuite/**/*.feature,Scenario lines,2176,TBD GS business scope,Partial,Partial,Stage1 Stage5,Verified manually executable,Jenkins/Ant not GitLab,2026-07-20,Medium,Full V2 surface; nightly subset smaller
AST-002,Universal Platform,V2 UI UP-scoped,qTest mapped cases,unite-test-automation,KP UP mapping,Executed qTest cases,268,744 qTest population (UP ledger),Partial,Partial,Stage1,Verified manually executable,Jenkins legacy,2026-07-01,High,SME-reviewed UP assessment
AST-003,Universal Platform,V3 UI,TestNG methods nightly,prime-test-automation,unite UE + unite masters,TestNG methods,436 source / 379 scoped,436 nightly population,Yes,Yes,Stage1,Verified recurring regression,GitLab scheduled_regression_job,2026-07-20,High,86.9% inventory share scoped
AST-004,Universal Platform,V3 UI adjacent,TestNG methods,prime-test-automation,Contributions CSR WebReg,TestNG methods,57,Adjacent not in 379,Yes,Yes,Stage1,Verified manually executable,May overlap nightly,2026-07-01,Medium,
AST-005,Traditional Unite,V2 Backoffice,Feature scenarios,unite-test-automation,unite/testsuite/backoffice,Scenario lines,1077,TBD,Partial,Partial,Stage1,Verified manually executable,Ant daily target exists,2026-07-20,Medium,Not confirmed in V3 GitLab schedule
AST-006,ASTRO,ASTRO UI,Feature scenarios,astro-test-automation,astro/testsuite,Scenario lines,1236,TBD,Partial,Partial,TB1 Stage1,Verified manually executable,Jenkins refresh only,2026-07-20,Medium,Not in recurring V2/V3 GitLab nightly
AST-007,Unite MSC,Mobile 2 API,TestNG classes,api-test-automation,mobile/mobile2,Test classes,20,N/A,Yes,Yes,QC4 Stage1,Verified manually executable,Not scheduled GitLab,2026-07-20,High,25 suite XMLs 30 Maven profiles
AST-008,Unite MSC,Mobile 2 API,Endpoint L3+ tests,api-test-automation,mobile/mobile2 *RequestTest,Endpoints,24,25 Dinesh excl mobilemembers,Yes,Yes,QC4 Stage1,Verified manually executable,Pending QA-1405,2026-07-20,High,100% in-scope endpoint automation
AST-009,Unite MSC,Mobile 2 API,Banks smoke PUT DELETE,api-test-automation,banks-smoke-testng.xml,Functional tests,2,N/A,No,Yes okdirect,QC4,Verified manually executable,Smoke only,2026-07-20,High,Excluded from master by design
AST-010,Unite MSC,Mobile 1 API,TestNG classes,api-test-automation,mobile/mobile1,Test classes,6,27 business endpoints,Yes,Yes,QC4 Stage1,Verified manually executable,Not scheduled,2026-07-20,High,22.2% endpoint coverage
AST-011,Unite MSC,Mobile 1 API,Auth session,api-test-automation,Mobile1AuthenticationTest,Endpoints,1,27,Yes,Yes,QC4 Stage1,Verified manually executable,Shared dependency for M2,2026-07-20,High,
AST-012,Universal Platform,Metadata API,TestNG,api-test-automation,jsonapi-metadataweb,Suite XML,13 suites,TBD,Partial,TBD,Stage1,Verified recurring regression,scheduled_metadataweb_stage1,2026-07-20,High,
AST-013,Universal Platform,Account Auth Financial Risk API,TestNG,api-test-automation,universal/*,Test classes,38,TBD,TBD,TBD,QC4 Stage1,Verified manually executable,Not on schedule,2026-07-20,Medium,
AST-014,Universal Platform,UP API ops,HTTP operations,api-test-automation,universal modules,Unique operations,11,UP operation catalog,TBD,TBD,Stage1,Verified manually executable,Partial CI,2026-07-01,High,
AST-015,Performance,UP IDP,JMeter Taurus,performance-test-automation,universal-platform/idp,Scripts,6+ IDP journeys,TBD,Yes,No,QC4 Stage1,Verified recurring regression,AGSUP_IDP_REGRESSION_SUITE,2026-07-02,Medium,Perf not functional pass/fail gate
AST-016,Performance,Unite MSC,JMeter Taurus,performance-test-automation,mobile/unite-msc/jmeter,JMX plans,6,TBD MSC catalog,Partial,Yes,QC4 Stage1,Verified manually executable,AGSUP_UNITE_MSC manual,2026-07-02,Medium,
AST-017,Performance,UP enrollment, JMeter,performance-test-automation,universal-platform/universal-enrollment, JMX,7+ per UP ledger,15 journey denominator,Partial,Partial,TBD,Verified manually executable,Not all scheduled,2026-07-01,Medium,
AST-018,Unite MSC,Service BDD,Cucumber features,UniteMSC 14 repos,src/test/resources/features,Features,112 aggregate,TBD,N/A,N/A,Service CI,Verified deployment validation,Per-repo GitLab,2026-07-20,Medium,Not BFF acceptance layer
AST-019,Unite MSC,Enrollment bootstrap,TestNG,api-test-automation,mobile/enrollment,Bootstrap tests,1 class,TBD,TBD,TBD,QC4,Verified manually executable,None,2026-07-20,Low,
AST-020,ASTRO,API astro module,TestNG,api-test-automation,astro/jsonapi-astro,Test classes,5,TBD,TBD,TBD,TBD,Verified manually executable,None,2026-07-20,Low,
