platform,job_or_workflow_name,repository,trigger,frequency,environment,suite_or_profile,business_scope,reports_artifacts,failure_behavior,gate_status,evidence_path,confidence,notes
GitLab,prepare,api-test-automation,Pipeline default,On push/MR,Stage1 DB props,Secure files setup,N/A,env_variables.env dotenv,Non-blocking prep,Informational,api-test-automation/.gitlab-ci.yml,High,All scheduled jobs depend on secure files
GitLab,scheduled_metadataweb_stage1,api-test-automation,only: schedules,Nightly (~1 AM per comment — schedule ID not verified in this pass),Stage1,stage1-api-metadata-pipeline,Universal metadataweb API,JUnit surefire,exit non-zero on test fail,Hard gate (scheduled job),api-test-automation/.gitlab-ci.yml,High,Only confirmed GS-related nightly in api-test-automation
GitLab,download_secure_files (include),api-test-automation,From shared include,With prepare,N/A,N/A,N/A,secure files,Unknown,Dependency,include ascensus-gs/.../includes,Medium,Job defined in external include project
GitLab,prepare,prime-test-automation,Pipeline default,On push/MR,Stage1,Secure files,N/A,artifacts,Prep,Informational,prime-test-automation/.gitlab-ci.yml,High,
GitLab,scheduled_regression_job,prime-test-automation,only: schedules,Nightly (KB cites schedule #3961313 — not re-verified live),Stage1,stage1-ue-regression-test + stage1-unite-regression-master,V3 UE + Unite core UI (IDP login contributions withdrawals CSR),JUnit both modules,exit 1 if either phase fails,Hard gate (scheduled),prime-test-automation/.gitlab-ci.yml,High,Selenium chrome service; primary V3 GS UI nightly
GitLab,stage5_smoke_job,prime-test-automation,schedule when: manual,Manual,Stage5,stage5-smoke profiles,V3 lightweight smoke,JUnit,Unknown,Manual smoke,prime-test-automation/.gitlab-ci.yml,High,Not recurring regression
GitLab,Per-microservice pipeline,UniteMSC (14 repos),Push/MR,Per commit,Dev/test,Maven test + Cucumber,Service under test,Jacoco Cluecumber,Typical Maven fail blocks stage,Deployment/build gate,unite-mobile1/.gitlab-ci.yml + shared unitemsc_template.yml,Medium,Exact job names in external template not in local clone
GitLab,accountowner_build_tdd,unite-accountowner,Branch push,Per commit,N/A,Angular build,Mobile account owner app,Build logs,Build fail blocks,Build gate,unite-accountowner/devops/templates/accountowner_tdd.yaml,High,Not GS regression suite
GitHub Actions,Mobile2 Dashboard vertical slice,External deployment pipeline repo (not in audit clone),Validated with Chaitanya,N/A,Nexus consume + dashboard profile,mobile-ms-dashboard-integration,Mobile 2 deployment validation,Nexus artifact + HTML report,N/A,N/A,Failure blocks workflow run (external),Deployment validation — not GitLab nightly,Externally validated 2026-07,Unknown,Validated slice,api-test-automation/mobile/project-documents/17-MOBILE2-NEXUS-GITHUB-ACTIONS-PIPELINE.md,Medium,Module-level GHA expansion in progress; workflow YAML not in api-test-automation clone
Jenkins,UNITE-TB-REFRESH,unite-test-automation,Ant build.xml reference,On demand / pre-regression,TB refresh,Testbed setup,V2 Unite,Logs,Unknown,Environment prep,unite/bin/build.xml,Medium,devjenkinsnt1:8080
Jenkins,V2 regression Ant targets,unite-test-automation,Ant CLI / Jenkins job (name not in repo),Daily/weekly targets documented,Stage1 Stage5,regression-frontoffice-daily regression-backoffice-daily stage1-*-regression,V2 Unite UI + backoffice,TestNG reports,Unknown,Soft/manual — job name TBD,unite/bin/build.xml,Medium,Parent automation.git GitLab CI is mock
Jenkins,ASTRO-TB-REFRESH,astro-test-automation,Ant build.xml,Pre-regression,TB1,Testbed refresh,ASTRO,Logs,Unknown,Environment prep,astro/bin/build.xml,Medium,
Jenkins,AGSUP_IDP_REGRESSION_SUITE,performance-test-automation,Build periodically,H 3 * * 1-5 (weekdays ~3 AM EDT),Load servers,IDP Taurus YAML suite,Universal Platform IDP perf,Perf reports,Unknown,Scheduled regression (perf),mobile2-api-db-validation/.../unite-msc-performance-testing-tracker.md,Medium,Not functional API regression
Jenkins,AGSUP_UNITE_MSC_ENDURANCE,performance-test-automation,Manual parameterized,No periodic trigger (2026-07-02),QC4 Stage1,unite-msc-non-idp-login-remote.yaml (+ choices),Unite MSC perf,Optional artifacts,Unknown,Manual only,Same tracker doc,Medium,IDP YAML exists; not default job choice
Jenkins,AGSUP_ENDURANCE_THROUGHPUT,performance-test-automation,Child of IDP suite,With IDP suite,Load servers,Parameterized YAML,UP perf throughput,Perf metrics,Unknown,Child job,Same tracker doc,Medium,
Jenkins,V2/V3 UI regression (historical),unite-test-automation / prime,Referenced in demand planning imports,TBD,TBD,TBD,~779+ combined TCs Apr 2026 claim,HTML reports,TBD,TBD — refresh required,10_IMPORTS_RAW/confluence_exports/Demand Planning Reports/,Low,Historical counts; not verified current
