workstream,business_capability,implemented_count,counting_unit,denominator_status,implementation_status,execution_status,scheduled_status,percent_claim,percent_classification,leadership_safe_wording,confidence,evidence_path,as_of_date
Universal Enrollment,529 enrollment journeys,303,TestNG methods,No approved business denominator,Near-complete for approved regression scope,Active GitLab nightly,scheduled_regression_job (UE profile),95%+ conversational claim,Program estimate requiring reconciliation,"Majority of current high-priority enrollment journeys automated in Modern Unite nightly",High,final-workstream-summary.csv; reconciliation-ledger,2026-07-01
IDP / Authentication,Login registration auth flows,56,TestNG methods,No approved business denominator,Near-complete for approved scope,Active GitLab nightly,scheduled_regression_job,95% conversational claim,Program estimate requiring reconciliation,"Near-complete automation for current documented IDP regression scope",High,final-workstream-summary.csv,2026-07-01
IDP Web Registration (adjacent),Web registration flows,6,TestNG methods,Adjacent — not in 379 scoped subtotal,Implemented,May run in extended nightly,Partial,Unknown,Verified count only,"Adjacent registration coverage — not in primary nightly subtotal",High,reconciliation-ledger,2026-07-01
Withdrawals,Member withdrawal journeys,20,TestNG methods,No approved business denominator,Near-complete for withdrawal scope,Active GitLab nightly,scheduled_regression_job,Unknown,Verified count only,"Withdrawal domain covered in nightly; transfers adjacent",High,final-workstream-summary.csv,2026-07-01
Contributions (adjacent),Contribution flows,36,TestNG methods,Adjacent — not in 379 subtotal,Implemented,Adjacent to nightly scope,Partial,Unknown,Verified count only,"Contribution automation exists — adjacent to primary nightly inventory",High,reconciliation-ledger,2026-07-01
CSR Account Maintenance (adjacent),CSR maintenance,15,TestNG methods,Adjacent,Implemented,Partial,Partial,Unknown,Verified count only,"CSR maintenance scenarios exist — confirm nightly inclusion",Medium,reconciliation-ledger,2026-07-01
Entity / ABLE Entity,Entity platform scenarios,6,business scenarios,Denominator not enumerated,Partial — expansion in progress,Not confirmed in nightly,Unknown pipeline inclusion,25% conversational claim,Program estimate requiring reconciliation,"Partial coverage; Entity and newly migrated features are primary expansion area",High,unite-entity module; ABLE analysis,2026-07-01
Angular lib-ui,Shared UI components,22,component tests,N/A — not E2E,Component tests only,CI on relevant repos,accountowner / lib-ui,Unknown,Verified count only,"Component-level tests — supplement not replace E2E",Medium,07-angular-analysis.md,2026-07-01
Universal API,Enrollment IDP Withdrawal operations,11,unique HTTP operations,Full service catalog not reconciled,Implemented in api-test-automation,Metadataweb scheduled; others manual,scheduled_metadataweb_stage1,Unknown,Verified count only,"11 scoped API operations automated; broader universal modules await scheduling",High,api-operation-mapping.csv,2026-07-01
Performance,Enrollment IDP Withdrawal Entity journeys,15,JMeter journeys,Journey catalog partial,Scripts implemented,IDP perf scheduled; UE/Entity partial,AGSUP_IDP weekdays,Unknown,Verified count only,"Performance journey assets exist; recurring execution uneven",Medium,performance-journey-mapping.csv,2026-07-01
Nightly inventory (technical appendix),Scoped vs total nightly population,379,436,TestNG methods,Inventory denominator defined,Active,GitLab scheduled,86.9%,Verified inventory share only,"Appendix metric — inventory share not requirement coverage",High,10-reconciliation-ledger.md,2026-07-01
Migrated features overall,40% conversational claim,N/A,N/A,No reconciled denominator,Expansion in progress,Mixed,GitLab nightly for core domains,40%,Program estimate requiring reconciliation,"Partial coverage with expansion in progress across Entity and newly migrated features",Low,Program knowledge — no verified denominator,2026-07-21
