metric_id,gs_domain,metric_type,label,numerator,denominator,formula,unit,counting_unit,as_of_date,commit_or_build,evidence_path,verification_status,confidence,leadership_safe,notes
M-M2-IMPL,Unite MSC,Implemented automation,Mobile 2 business endpoint automation (code),24,25,96.0%,business endpoints,24/25,2026-07-20T18:15:00-04:00,cee0de9,C:\Workspace\GitLab\api-test-automation/mobile/mobile2,Verified,High,Yes,Excludes mobilemembers from numerator; destructive ops counted as implemented
M-M2-EXEC,Unite MSC,Executed coverage,Mobile 2 last documented master run,22,25,88.0%,business endpoints,22/25,2026-07-14,7ccaf46,17-mobile2-api-automation-signoff.md,Stale,Medium,Conditional,Superseded for implementation; execution refresh pending
M-M2-CI,Unite MSC,CI integration,Mobile 2 GitLab scheduled job,0,1,0%,scheduled jobs,0/1,2026-07-20T18:15:00-04:00,cee0de9,.gitlab-ci.yml,Verified gap,High,Yes,QA-1405
M-M1-IMPL,Unite MSC,Implemented automation,Mobile 1 endpoint automation (code),6,27,22.2%,business endpoints,6/27,2026-07-20T18:15:00-04:00,cee0de9,mobile/mobile1,Verified,High,Yes,Current code replaces 1/27 historical baseline for implementation
M-M1-EXEC,Unite MSC,Executed coverage,Mobile 1 execution-verified endpoints,1,27,3.7%,business endpoints,1/27,2026-07-09,baseline,03-document-postman-coverage-matrix.md,Verified,High,Yes,Session/auth only until fresh runs
M-M1-CI,Unite MSC,CI integration,Mobile 1 GitLab scheduled job,0,1,0%,scheduled jobs,0/1,2026-07-20T18:15:00-04:00,cee0de9,.gitlab-ci.yml,Verified gap,High,Yes,
M-V3-UI,Universal Platform,Inventory share,V3 scoped TestNG nightly share,379,436,86.9%,TestNG methods,379/436,2026-07-01,SME,universal-platform-coverage,Verified,High,Yes,Not requirement coverage
M-V2-UI,Universal Platform,Inventory share,V2 UP-scoped qTest share,268,744,36.0%,qTest cases,268/744,2026-06-29,qTest PDF,universal-platform-coverage,Stale,High,Yes,
M-V3-CI,Universal Platform,Scheduled regression,V3 GitLab scheduled job,1,1,100%,scheduled job,1/1,2026-07-20T18:15:00-04:00,93f8628,prime-test-automation/.gitlab-ci.yml,Verified,High,Yes,Hard-fail on run; not MR gate
M-META-CI,Universal Platform,Scheduled regression,Metadataweb API GitLab job,1,1,100%,scheduled job,1/1,2026-07-20T18:15:00-04:00,cee0de9,api-test-automation/.gitlab-ci.yml,Verified,High,Yes,
M-GHA-M2,Unite MSC,Deployment validation,GHA Dashboard vertical slice,1,1,100%,validated slice,1/1,2026-07,external,17-MOBILE2-NEXUS-GITHUB-ACTIONS-PIPELINE.md,Verified external,Medium,Yes,Workflow repo not in clone
